Hotel;Is Canceled;Lead Time;arrival full date;Arrival Date Year;Arrival Date Month;Arrival Date Week Number;Arrival Date Day of Month;Stays in Weekend nights;Stays in week nights;stays total nights;Adults;Children;Babies;Meal;Country;Reserved Room Type;Assigned room type;customer type;Reservation Status;Reservation status_date
Resort Hotel;0;342;2015-07-01;2015;July;27;1;0;0;0;2;0.0;0;BB;PRT;C;C;Transient;Check-Out;2015-07-01
Resort Hotel;0;737;2015-07-01;2015;July;27;1;0;0;0;2;0.0;0;BB;PRT;C;C;Transient;Check-Out;2015-07-01
Resort Hotel;0;7;2015-07-01;2015;July;27;1;0;1;1;1;0.0;0;BB;GBR;A;C;Transient;Check-Out;2015-07-02
Resort Hotel;0;13;2015-07-01;2015;July;27;1;0;1;1;1;0.0;0;BB;GBR;A;A;Transient;Check-Out;2015-07-02
Resort Hotel;0;14;2015-07-01;2015;July;27;1;0;2;2;2;0.0;0;BB;GBR;A;A;Transient;Check-Out;2015-07-03
Resort Hotel;0;14;2015-07-01;2015;July;27;1;0;2;2;2;0.0;0;BB;GBR;A;A;Transient;Check-Out;2015-07-03
Resort Hotel;0;0;2015-07-01;2015;July;27;1;0;2;2;2;0.0;0;BB;PRT;C;C;Transient;Check-Out;2015-07-03
Resort Hotel;0;9;2015-07-01;2015;July;27;1;0;2;2;2;0.0;0;FB;PRT;C;C;Transient;Check-Out;2015-07-03
Resort Hotel;1;85;2015-07-01;2015;July;27;1;0;3;3;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-05-06
Resort Hotel;1;75;2015-07-01;2015;July;27;1;0;3;3;2;0.0;0;HB;PRT;D;D;Transient;Canceled;2015-04-22
Resort Hotel;1;23;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;PRT;E;E;Transient;Canceled;2015-06-23
Resort Hotel;0;35;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;HB;PRT;D;D;Transient;Check-Out;2015-07-05
Resort Hotel;0;68;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;USA;D;E;Transient;Check-Out;2015-07-05
Resort Hotel;0;18;2015-07-01;2015;July;27;1;0;4;4;2;1.0;0;HB;ESP;G;G;Transient;Check-Out;2015-07-05
Resort Hotel;0;37;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-05
Resort Hotel;0;68;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;IRL;D;E;Transient;Check-Out;2015-07-05
Resort Hotel;0;37;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;PRT;E;E;Contract;Check-Out;2015-07-05
Resort Hotel;0;12;2015-07-01;2015;July;27;1;0;1;1;2;0.0;0;BB;IRL;A;E;Transient;Check-Out;2015-07-02
Resort Hotel;0;0;2015-07-01;2015;July;27;1;0;1;1;2;0.0;0;BB;FRA;A;G;Transient;Check-Out;2015-07-02
Resort Hotel;0;7;2015-07-01;2015;July;27;1;0;4;4;2;0.0;0;BB;GBR;G;G;Transient;Check-Out;2015-07-05
Resort Hotel;0;37;2015-07-01;2015;July;27;1;1;4;5;1;0.0;0;BB;GBR;F;F;Transient;Check-Out;2015-07-06
Resort Hotel;0;72;2015-07-01;2015;July;27;1;2;4;6;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-07
Resort Hotel;0;72;2015-07-01;2015;July;27;1;2;4;6;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-07
Resort Hotel;0;72;2015-07-01;2015;July;27;1;2;4;6;2;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-07
Resort Hotel;0;127;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;HB;GBR;D;I;Contract;Check-Out;2015-07-01
Resort Hotel;0;78;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-08
Resort Hotel;0;48;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;BB;IRL;D;D;Contract;Check-Out;2015-07-08
Resort Hotel;1;60;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;BB;PRT;E;E;Transient;Canceled;2015-05-11
Resort Hotel;0;77;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-08
Resort Hotel;0;99;2015-07-01;2015;July;27;1;2;5;7;2;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-08
Resort Hotel;0;118;2015-07-01;2015;July;27;1;4;10;14;1;0.0;0;BB;;A;A;Transient;Check-Out;2015-07-15
Resort Hotel;0;95;2015-07-01;2015;July;27;1;4;11;15;2;0.0;0;BB;GBR;D;D;Transient;Check-Out;2015-07-16
Resort Hotel;1;96;2015-07-01;2015;July;27;1;2;8;10;2;0.0;0;BB;PRT;E;E;Transient;Canceled;2015-05-29
Resort Hotel;0;69;2015-07-02;2015;July;27;2;2;4;6;2;0.0;0;BB;IRL;A;C;Transient;Check-Out;2015-07-08
Resort Hotel;1;45;2015-07-02;2015;July;27;2;1;3;4;3;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-05-19
Resort Hotel;1;40;2015-07-02;2015;July;27;2;1;3;4;3;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-06-19
Resort Hotel;0;15;2015-07-02;2015;July;27;2;1;3;4;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-06
Resort Hotel;0;36;2015-07-02;2015;July;27;2;1;3;4;3;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-06
Resort Hotel;1;43;2015-07-02;2015;July;27;2;1;3;4;3;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-05-23
Resort Hotel;0;70;2015-07-02;2015;July;27;2;2;3;5;2;0.0;0;HB;ROU;E;E;Transient;Check-Out;2015-07-07
Resort Hotel;1;45;2015-07-02;2015;July;27;2;2;3;5;2;0.0;0;BB;PRT;G;G;Transient;Canceled;2015-05-18
Resort Hotel;0;45;2015-07-02;2015;July;27;2;2;3;5;2;0.0;0;BB;IRL;D;D;Contract;Check-Out;2015-07-07
Resort Hotel;0;16;2015-07-02;2015;July;27;2;2;3;5;2;0.0;0;BB;ESP;F;F;Transient;Check-Out;2015-07-07
Resort Hotel;0;70;2015-07-02;2015;July;27;2;2;3;5;2;0.0;0;HB;ROU;E;E;Transient;Check-Out;2015-07-07
Resort Hotel;0;107;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-09
Resort Hotel;1;47;2015-07-02;2015;July;27;2;2;5;7;2;2.0;0;BB;PRT;G;G;Transient;Canceled;2015-06-02
Resort Hotel;0;96;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;BB;ESP;A;A;Transient;Check-Out;2015-07-09
Resort Hotel;0;113;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;BB;NOR;E;E;Transient-Party;Check-Out;2015-07-09
Resort Hotel;0;90;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;HB;GBR;A;B;Contract;Check-Out;2015-07-09
Resort Hotel;0;50;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;HB;IRL;E;F;Transient;Check-Out;2015-07-09
Resort Hotel;0;113;2015-07-02;2015;July;27;2;2;5;7;2;0.0;0;BB;NOR;D;D;Transient-Party;Check-Out;2015-07-09
Resort Hotel;0;93;2015-07-02;2015;July;27;2;3;8;11;2;0.0;0;BB;IRL;A;A;Contract;Check-Out;2015-07-13
Resort Hotel;0;76;2015-07-02;2015;July;27;2;4;10;14;2;0.0;0;BB;OMN;D;D;Contract;Check-Out;2015-07-16
Resort Hotel;0;3;2015-07-02;2015;July;27;2;0;1;1;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-03
Resort Hotel;0;1;2015-07-02;2015;July;27;2;0;1;1;2;0.0;0;BB;ARG;H;H;Transient;Check-Out;2015-07-03
Resort Hotel;0;1;2015-07-02;2015;July;27;2;0;1;1;2;2.0;0;BB;ESP;C;C;Transient;Check-Out;2015-07-03
Resort Hotel;0;0;2015-07-02;2015;July;27;2;0;1;1;2;0.0;0;BB;PRT;H;H;Transient;Check-Out;2015-07-03
Resort Hotel;0;0;2015-07-02;2015;July;27;2;0;1;1;2;0.0;0;BB;PRT;A;D;Transient;Check-Out;2015-07-03
Resort Hotel;0;0;2015-07-02;2015;July;27;2;0;1;1;2;0.0;0;BB;PRT;G;G;Transient;Check-Out;2015-07-03
Resort Hotel;0;14;2015-07-02;2015;July;27;2;0;2;2;2;0.0;0;BB;USA;A;C;Transient;Check-Out;2015-07-04
Resort Hotel;0;10;2015-07-02;2015;July;27;2;0;2;2;2;0.0;0;BB;PRT;G;G;Transient;Check-Out;2015-07-04
Resort Hotel;0;5;2015-07-02;2015;July;27;2;0;2;2;2;0.0;0;BB;IRL;E;E;Transient;Check-Out;2015-07-04
Resort Hotel;0;17;2015-07-02;2015;July;27;2;0;3;3;2;0.0;0;BB;ESP;F;F;Transient;Check-Out;2015-07-05
Resort Hotel;0;93;2015-07-02;2015;July;27;2;0;3;3;2;0.0;0;BB;IRL;A;C;Contract;Check-Out;2015-07-05
Resort Hotel;1;3;2015-07-02;2015;July;27;2;0;3;3;2;0.0;0;HB;PRT;A;A;Transient;Canceled;2015-06-29
Resort Hotel;0;10;2015-07-03;2015;July;27;3;0;2;2;2;2.0;0;BB;USA;G;H;Transient;Check-Out;2015-07-05
Resort Hotel;0;3;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-05
Resort Hotel;0;51;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;POL;D;D;Transient;Check-Out;2015-07-05
Resort Hotel;1;71;2015-07-03;2015;July;27;3;0;2;2;3;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-06-16
Resort Hotel;1;63;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-06-18
Resort Hotel;1;62;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;PRT;D;D;Transient;Canceled;2015-07-03
Resort Hotel;1;101;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-06-12
Resort Hotel;0;2;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;HB;PRT;A;A;Transient;Check-Out;2015-07-05
Resort Hotel;0;15;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;ESP;A;A;Transient;Check-Out;2015-07-05
Resort Hotel;1;51;2015-07-03;2015;July;27;3;0;2;2;3;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-06-09
Resort Hotel;0;3;2015-07-03;2015;July;27;3;1;2;3;2;0.0;0;BB;ESP;A;A;Transient;Check-Out;2015-07-06
Resort Hotel;1;48;2015-07-03;2015;July;27;3;1;2;3;2;0.0;0;BB;PRT;E;E;Transient;Canceled;2015-05-26
Resort Hotel;0;2;2015-07-03;2015;July;27;3;2;2;4;1;0.0;0;BB;PRT;A;A;Transient;Check-Out;2015-07-07
Resort Hotel;0;72;2015-07-03;2015;July;27;3;2;2;4;2;0.0;0;BB;DEU;A;A;Transient;Check-Out;2015-07-07
Resort Hotel;0;81;2015-07-03;2015;July;27;3;2;6;8;3;0.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-11
Resort Hotel;0;99;2015-07-03;2015;July;27;3;2;7;9;2;0.0;0;BB;FRA;A;A;Contract;Check-Out;2015-07-12
Resort Hotel;1;368;2015-07-03;2015;July;27;3;3;7;10;2;0.0;0;BB;PRT;A;A;Contract;Canceled;2015-05-19
Resort Hotel;0;364;2015-07-03;2015;July;27;3;3;7;10;2;0.0;0;BB;GBR;A;A;Contract;Check-Out;2015-07-13
Resort Hotel;1;81;2015-07-03;2015;July;27;3;3;7;10;2;0.0;0;HB;PRT;A;A;Transient;Canceled;2015-06-09
Resort Hotel;0;99;2015-07-03;2015;July;27;3;3;7;10;2;0.0;0;HB;GBR;E;E;Contract;Check-Out;2015-07-13
Resort Hotel;0;324;2015-07-03;2015;July;27;3;4;10;14;2;0.0;0;HB;GBR;E;E;Contract;Check-Out;2015-07-17
Resort Hotel;0;69;2015-07-03;2015;July;27;3;4;10;14;2;0.0;0;BB;GBR;F;F;Transient;Check-Out;2015-07-17
Resort Hotel;1;79;2015-07-03;2015;July;27;3;6;15;21;2;1.0;0;BB;PRT;A;A;Transient;Canceled;2015-04-15
Resort Hotel;0;12;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;GBR;A;C;Transient;Check-Out;2015-07-04
Resort Hotel;0;9;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;PRT;A;C;Transient;Check-Out;2015-07-04
Resort Hotel;0;1;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-04
Resort Hotel;0;21;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;PRT;E;E;Transient;Check-Out;2015-07-04
Resort Hotel;0;9;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;USA;C;C;Transient;Check-Out;2015-07-04
Resort Hotel;0;109;2015-07-03;2015;July;27;3;0;1;1;2;0.0;0;BB;BEL;A;A;Transient;Check-Out;2015-07-04
Resort Hotel;1;109;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-05-26
Resort Hotel;1;72;2015-07-03;2015;July;27;3;0;2;2;2;0.0;0;BB;PRT;A;A;Transient;Canceled;2015-06-29
Resort Hotel;1;63;2015-07-03;2015;July;27;3;2;5;7;2;0.0;0;BB;PRT;F;F;Transient;Canceled;2015-05-13
Resort Hotel;0;63;2015-07-03;2015;July;27;3;2;5;7;3;0.0;0;HB;ESP;E;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;101;2015-07-03;2015;July;27;3;2;5;7;2;1.0;0;BB;PRT;D;D;Transient;Check-Out;2015-07-10
Resort Hotel;0;102;2015-07-03;2015;July;27;3;2;5;7;2;0.0;0;BB;DEU;E;E;Transient;Check-Out;2015-07-10
Resort Hotel;0;4;2015-07-04;2015;July;27;4;2;1;3;2;0.0;0;BB;ESP;A;C;Transient;Check-Out;2015-07-07
Resort Hotel;0;98;2015-07-04;2015;July;27;4;2;1;3;2;0.0;0;BB;FRA;D;D;Transient;Check-Out;2015-07-07
Resort Hotel;0;92;2015-07-04;2015;July;27;4;2;4;6;1;2.0;0;BB;FRA;F;F;Transient;Check-Out;2015-07-10
Resort Hotel;0;95;2015-07-04;2015;July;27;4;2;4;6;2;0.0;0;BB;PRT;A;C;Transient;Check-Out;2015-07-10
